english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Dio Chrysostom,Dion de Pruse,Dio Chrysostomus,Q334457,Dion Chrysostomos,242,"[""Dio of Prusa"", ""Dio Cocceianus""]","[""Dion Chrysostome"", ""Dion Chrysost\u00f4me""]","[""Dio Chrysostomus Sophista"", ""Dio Prusaeus"", ""Dio Prusaensis""]","[""Ancient Greek""]"
Theognis of Megara,Théognis de Mégare,Theognis,Q336115,Theognis,923,"[""Theognis""]","[""Theognis de Megare"", ""Th\u00e9ognis""]","[""Theognis Elegiacus"", ""Theognis Megarensis"", ""Theognis Megareus""]","[""Ancient Greek""]"
Simplicius of Cilicia,Simplicius,Simplicius,Q351518,Simplicius,859,"[""Simplicius"", ""Simplicius van Cilici\u00eb""]","[""Simplicius de Cilicie"", ""Simplicios"", ""Simplicios de Cilicie"", ""Simplicius van Cilici\u00eb""]","[""Simplicius Atheniensis"", ""Simplicius Cilicius"", ""Simplicius Philosophus"", ""Simplicius Neoplatonicus"", ""Simplicius van Cilici\u00eb""]","[""Ancient Greek""]"
Aelius Aristides,Aelius Aristide,Publius Aelius Aristides,Q354431,Aelius Aristeides,13,"[""Publius Aelius Aristides Theodorus"", ""Publius Aelius Aristides""]","[""\u00c6lius Aristide""]","[""Aelius Aristides"", ""Aristides Rhetor""]","[""Ancient Greek""]"
Synesius of Cyrene,Synésios de Cyrène,Synesius Cyrenaeus,Q357027,Synesios of Kyrene,3702,"[""Bishop of Ptolemais"", ""Synesius of Ptolemais"", ""Synesius""]","[""Syn\u00e9sios"", ""Syn\u00e9sius"", ""Synesios de Cyrene"", ""Synesius"", ""Syn\u00e9sius de Cyr\u00e8ne""]","[""Synesius Cyrenensis"", ""Synesius""]","[""Ancient Greek""]"
Themistius,Thémistios,Themistius,Q365183,Themistios,910,[],"[""Th\u00e9mistius"", ""Themistius""]","[""Themistius Rhetor"", ""Themistius Constantinopolitanus"", ""Themistius Philosophus"", ""Themistius Euphrades""]","[""Ancient Greek""]"
Lycophron,Lycophron,Lycophron,Q432737,Lykophron,531,"[""Lykophron of Chalkis"", ""Lykophron"", ""Lycophron of Chalcis""]","[""Lycophron de Chalcis""]","[""Lycophron Chalcidensis"", ""Lycophron Alexandrinus"", ""Lycophron Chalcidicus"", ""Lycophron Tragicus""]","[""Ancient Greek""]"
Chariton,Chariton d'Aphrodise,Charito Aphrodisiensis,Q434567,Chariton,181,"[""Chariton of Aphrodisias""]","[""Chariton d'Aphrodisie"", ""Chariton d'Aphrodisias""]","[""Chariton scriptor eroticus""]","[""Ancient Greek""]"
Herodas,Hérondas,Herodas,Q434811,Herondas,379,"[""Herondas""]","[""H\u00e9rodas"", ""Herondas""]","[""Herodas Mimographus"", ""Herondas Mimographus"", ""Herondas""]","[""Ancient Greek""]"
Evagrius Ponticus,Évagre le Pontique,Evagrius Ponticus,Q437869,Euagrios of Pontos,286,"[""Evagrius of Pontus"", ""Evagrius the Solitary""]","[""Evagre du Pont"", ""Evagre le Pontique"", ""Evagrius Ponticus""]",[],"[""Ancient Greek""]"
Hesychius of Alexandria,Hésychios d'Alexandrie,Hesychius Alexandrinus,Q443510,Hesychios of Alexandria,2531,"[""Hesych"", ""H\u0113sychios"", ""Hesychios"", ""Hesychius""]","[""Hesychios d'Alexandrie""]","[""Hesychius Grammaticus"", ""Hesychius Lexicographus""]","[""Ancient Greek""]"
Philodemus,Philodème de Gadara,Philodemus,Q451550,Philodemos,672,"[""Philodem"", ""Philodemus of Gadara"", ""Philodemos""]","[""Philod\u00e8me l'\u00e9picurien"", ""Philodeme de Gadara"", ""Philod\u00e8me""]","[""Philodemus Gadarensis"", ""Philodemus Philosophus""]","[""Ancient Greek""]"
Pseudo-Longinus,Pseudo-Longin,Longinus,Q744540,Pseudo-Longinos or Pseudo-Dionysios,2854,"[""Dionysius Longinus""]",[],"[""Pseudo-Longinus"", ""Dionysius Longinus""]","[""Ancient Greek""]"
Posidippus,Posidippe,Posidippus,Q1392801,Poseidippos of Pella,709,"[""Posidippus of Pella""]","[""Posidippos"", ""Posidippus""]","[""Posidippus Pellensis""]","[""Ancient Greek""]"
Philostratus,Philostrate d'Athènes,Philostratus Atheniensis,Q2274948,Philostratos II,679,"[""Philostratus the Athenian"", ""Philostratus Atheniensis"", ""Lucius Flavius Philostratus""]","[""Philostrate l'Ath\u00e9nien"", ""Philostrate"", ""Philostrate l'Athenien""]","[""Flavius Philostratus Atheniensis"", ""Flavius Philostratus Sophista"", ""Flavius Philostratus""]","[""Ancient Greek""]"
Plato,Platon,Plato,Q859,Platon,694,[],[],"[""Plato Philosophus""]","[""Attic Greek""]"
Aristotle,Aristote,Aristoteles,Q868,Aristoteles,119,"[""the Stagirite""]",[],"[""Aristoteles Pellaeus"", ""Aristoteles Stagirites"", ""Aristoteles Atheniensis""]","[""Attic Greek""]"
Venantius Fortunatus,Venance Fortunat,Venantius Fortunatus,Q44934,Venantius Fortunatus,956,"[""Venantius Honorius Clementianus Fortunatus"", ""St. Venantius Honorius Clementianus Fortunato"", ""Fortunatus""]","[""Venantius Fortunatus""]","[""Venantius Fortunatus Poeta"", ""Venantius Honorius Clementianus Fortunatus""]","[""Medieval Latin""]"
Gregory of Tours,Grégoire de Tours,Gregorius Turonensis,Q67841,Gregorius of Tours,1278,"[""St. Gregory of Tours""]","[""Gr\u00e9goire de Tour"", ""Saint Gr\u00e9goire de Tours"", ""Gregoire de Tours""]","[""Sanctus Gregorius Turonensis""]","[""Medieval Latin""]"
Gorgias,Gorgias,Gorgias,Q179785,Gorgias of Leontinoi,2449,"[""Gorgias of Leontini""]",[],"[""Gorgias Sophista"", ""Gorgias Leontinus""]","[""Attic Greek""]"
Origen,Origène,Origenes,Q170472,Origenes,612,"[""Origenes""]","[""Orig\u00e8nes"", ""Orig\u00e8ne d'Alexandrie"", ""Origene""]","[""Origenes Alexandrinus"", ""Origenes Theologus"", ""Origenes Adamantius""]","[""Koine Greek""]"
Maximus the Confessor,Maxime le Confesseur,Maximus Confessor,Q206842,Maximos confessor,2999,"[""Saint Maximus"", ""Maximus of Constantinople"", ""Maximus the Theologian""]","[""Maxime de Chrysopolis"", ""Saint Maxime le Confesseur""]","[""Maximus Confessor Theologus"", ""Maximus Constantinopolitanus"", ""Maximus Homologetes""]","[""Medieval Greek""]"
Pelagius,Pélage,Pelagius,Q162593,Pelagius,644,"[""Morgan""]","[""Pelagius""]","[""Pelagius Britannicus"", ""Pelagius Theologus""]",[]
Mani,Mani,Manes,Q203922,Mani,547,"[""Manes"", ""Suraik"", ""Kurbik""]","[""ma\u00eetre Mani"", ""le Vivant"", ""Manikhaios""]","[""Manichaeus""]",[]
Hippolytus,Hippolyte de Rome,Hippolytus,Q207113,Hippolytos of Rome,391,"[""St. Hippolytus"", ""Hippolytus of Rome""]","[""Hippolyte de Porto"", ""Antipape Hippolyte"", ""Saint Hippolyte de Rome""]","[""Sanctus Hippolytus"", ""Hippolytus Romanus""]",[]
Pseudo-Dionysius the Areopagite,Pseudo-Denys l'Aréopagite,Pseudo-Dionysius Areopagita,Q312816,Pseudo-Dionysios Areopagites,744,"[""Pseudo-Denys"", ""Dionysius the Pseudo-Areopagite""]","[""Pseudo-Denys"", ""Corpus Areopagiticum"", ""Pseudo-Denys l'Areopagite"", ""Saint Denys l\u2019Ar\u00e9opagite""]",[],[]
Suidas,Suidas,Suidas,Q1534037,Anonymus of the Suidas,6227,"[""S\u016b\u00efdas"", ""Su\u00efdas"", ""Soudas"", ""Souidas""]",[],[],[]
Hermas,Hermas,Hermas,Q1799472,Hermas,370,[],[],"[""Hermas Scriptor ecclesiasticus""]",[]
Socrates,Socrate,Socrates,Q913,Sokrates,3623,[],[],"[""Socrates Atheniensis"", ""Socrates Philosophus""]",[]
Pythagoras,Pythagore,Pythagoras,Q10261,Pythagoras,803,"[""Pythagoras from Samos"", ""Pythagoras of Samos"", ""Samian Sage""]",[],"[""Pythagoras Samius"", ""Pythagoras Philosophus""]",[]
Benedict of Nursia,Benoît de Nursie,Benedictus de Nursia,Q44265,Benedictus,160,"[""Bengt"", ""Saint Benedict of Nursia"", ""Saint Benedict"", ""St. Benedict""]","[""Benoit de Nursie"", ""Saint Beno\u00eet de Nursie""]","[""Sanctus Benedictus de Nursia"", ""Benedictus Casinensis"", ""Sanctus Benedictus"", ""Benedictus Casinensis Abbas""]",[]
